25.1.	Pauli				
25.10.	Sointu				
25.11.	Kaarina				
25.11.	Kaija				
25.11.	Kaisa				
25.11.	Kaisu				
25.11.	Katariina				
25.11.	Kati				
25.11.	Katja				
25.11.	Katri				
25.11.	Katriina				
25.11.	Riina		
25.2.	Tuija				
25.2.	Tuire				
25.3.	Aija				
25.4.	Markku				
25.4.	Marko				
25.4.	Markus				
25.5.	Urpo				
25.6.	Uuno				
25.7.	Jaakko				
25.7.	Jaakob				
25.7.	Jaakoppi				
25.8.	Loviisa				
25.9.	Kullervo				
26.1.	Joonatan				
26.10.	Amanda				
26.10.	Manta				
26.10.	Niina				
26.11.	Sisko				
26.12.	Tapani				
26.12.	Tahvo				
26.12.	Teppo	
26.2.	Nestori			
26.3.	Immanuel				
26.3.	Immo				
26.3.	Manne				
26.3.	Manu				
26.4.	Teresa				
26.4.	Terttu				
26.5.	Miina				
26.5.	Mimmi				
26.5.	Minna				
26.5.	26				
26.5.	Vilma				
26.6.	Jarkko				
26.6.	Jarmo				
26.6.	Jarno				
26.6.	Jere				
26.6.	Jeremias				
26.6.	Jorma				
26.7.	Martta				
26.8.	Ilma				
26.8.	Ilmatar				
26.8.	Ilmi				
26.9.	Kuisma				
27.1.	Viljo				
27.10.	Helle				
27.10.	Helli				
27.10.	Hellin				
27.10.	Hell‰				
27.11.	Hilkka				
27.12.	Hannes				
27.12.	Hannu
27.2.	Torsti
27.3.	Sauli				
27.4.	Merja				
27.5.	Ritva				
27.6.	Elvi				
27.6.	Elviira				
27.7.	Heidi				
27.8.	Rauli				
27.9.	Vesa				
28.1.	Kaarle				
28.1.	Kaarlo				
28.1.	Kalle				
28.11.	Heini				
28.12.	Piia
28.2.	Onni				
28.3.	Armas				
28.4.	Ilpo				
28.4.	Ilppo				
28.5.	Alma				
28.6.	Leo				
28.7.	Atso				
28.8.	Tauno				
28.9.	Arja				
29.1.	Valtteri				
29.10.	Alfred				
29.10.	Urmas				
29.11.	Aimo				
29.12.	Rauha				
29.3.	Joni				
29.3.	Jonne				
29.3.	Jonni				
29.3.	Joona				
29.3.	Joonas				
29.3.	Jouni				
29.4.	Teijo				
29.5.	Oivi				
29.5.	Olivia				
29.5.	Oiva				
29.6.	Petra				
29.6.	Pekka				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.7.	Olavi				
29.8.	Iina				
29.8.	Iines				
29.8.	Inari				
29.9.	Mikaela	
29.9.	Mikko			
3.1.	Elmer				
3.1.	Elmeri				
3.1.	Elmo				
3.11.	Terho				
3.12.	Meri				
3.12.	Vellamo				
3.2.	Valo				
3.3.	Kauko				
3.4.	Sampo				
3.5.	Outi				
3.6.	Orvokki				
3.6.	Viola				
3.7.	Arvo				
3.8.	Linnea				
3.8.	Nea				
3.8.	Vanamo				
3.9.	Soila				
3.9.	Soile				
3.9.	Soili				
30.1.	Irja				
30.10.	Eila				
30.11.	Antero				
30.11.	Antti				
30.11.	Atte				
30.12.	Daavid				
30.3.	Usko				
30.4.	Miia				
30.4.	Mira				
30.4.	Mirja				
30.4.	Mirjami				
30.4.	Mirka				
30.4.	Mirkka				
30.4.	Mirva				
30.5.	Pasi
30.6.	Päivi				
30.7.	Asta				
30.8.	Eemeli				
30.8.	Eemil				
30.9.	Sirja				
30.9.	Sorja				
31.1.	Alli				
31.10.	Arto				
31.10.	Arttu				
31.10.	Artturi				
31.3.	Irma				
31.3.	Irmeli				
31.5.	Helga				
31.5.	Helka				
31.7.	Elena				
31.7.	Helena				
31.8.	Arvi				
4.1.	Ruut				
4.10.	Saija				
4.10.	Saila				
4.11.	Hertta				
4.12.	Aira				
4.12.	Airi				
4.2.	Armi				
4.2.	Ronja				
4.3.	Ari				
4.3.	Arsi				
4.3.	Atro
4.4.	Ukko				
4.5.	Roosa				
4.5.	Ruusu				
4.6.	Toivo				
4.7.	Ulla				
4.7.	Ulpu				
4.8.	Veera				
4.9.	Ansa				
5.1.	Lea				
5.1.	Leea				
5.10.	Inka				
5.10.	Inkeri				
5.11.	Reima				
5.12.	Selma				
5.2.	Asser				
5.3.	Laila				
5.3.	Leila				
5.4.	Ira				
5.4.	Irene				
5.4.	Irina				
5.4.	Iro				
5.5.	Maini	
5.6.	Sulevi
5.7.	Unto	
5.8.	Salme				
5.8.	Sanelma				
5.9.	Mainio				
5.9.	Roni				
6.1.	Harri				
6.10.	Minttu				
6.10.	Pinja				
6.2.	Tea				
6.2.	Teija				
6.2.	Terhi				
6.2.	Terhikki				
6.2.	Tiia				
6.3.	Tarmo				
6.4.	Jami				
6.4.	Vilhelm				
6.4.	Vilho				
6.4.	Vili				
6.4.	Viljami				
6.4.	Ville				
6.5.	Ylermi				
6.6.	Kustaa				
6.6.	Kustavi				
6.6.	Kyˆsti				
6.7.	Esa				
6.7.	Esaias				
6.8.	Keimo				
6.8.	Toimi				
6.9.	Asko				
7.1.	Aku				
7.1.	August				
7.1.	Aukusti				
7.10.	Birgitta				
7.10.	Pirita				
7.10.	Piritta				
7.10.	Pirjo				
7.10.	Pirkko				
7.11.	Taisto				
7.12.	Sampsa				
7.2.	Rikhard				
7.2.	Riku				
7.3.	Tarja				
7.3.	Taru				
7.4.	Ahvo				
7.4.	Allan				
7.5.	Helmi				
7.5.	Kastehelmi				
7.6.	Suvi				
7.6.	Robert				
7.6.	Roope				
7.7.	Klaus				
7.7.	Launo				
7.8.	Lahja				
7.9.	Arhippa				
7.9.	Arho				
8.1.	Hilppa				
8.1.	Titta				
8.10.	Hilja				
8.11.	Aatos				
8.12.	Kylli				
8.12.	Kyllikki				
8.2.	Laina				
8.3.	Vilppu				
8.4.	Suoma				
8.4.	Suometar				
8.5.	Heino				
8.6.	Salomo				
8.6.	Salomon	
8.7.	Turo			
8.8.	Silva				
8.8.	Sylvi				
8.8.	Sylvia				
8.9.	Taimi				
9.1.	Veijo				
9.1.	Veikko				
9.1.	Veli				
9.10.	Ilona				
9.11.	Teuvo				
9.12.	Anna				
9.12.	Anne				
9.12.	Anneli				
9.12.	Anni				
9.12.	Annika				
9.12.	Annikki				
9.12.	Annukka				
9.12.	Anu				
9.2.	Raija				
9.2.	Raisa				
9.3.	Auvo				
9.4.	Eelis				
9.4.	Elias				
9.4.	Eljas				
9.5.	Timo				
9.6.	Ensio				
9.7.	Ilta				
9.7.	Jasmin				
9.8.	Eira				
9.8.	Erja				
9.9.	Eevert				
9.9.	Isto			
